,Concentrations of fine particulate matter (PM2.5),Concentrations of fine particulate matter (PM2.5)
,2014,2014
Country, Urban, Total
Afghanistan,63.4,46
Albania,17.1,15.9
Algeria,25.1,26.5
Andorra,10.5,10.4
Angola,42.4,27.4
Antigua and Barbuda,13,13
Argentina,14.4,13
Armenia,25,20.7
Australia,5.8,5.7
Austria,17.1,16
Azerbaijan,26.3,23.8
Bahamas,12.6,12.7
Bahrain,60.1,60
Bangladesh,88.8,83.5
Barbados,14,14
Belarus,18,17.4
Belgium,15.9,15.5
Belize,20.7,21.7
Benin,27.9,31
Bhutan,39,48.3
Bolivia (Plurinational State of),31.6,27.1
Bosnia and Herzegovina,55.1,41.6
Botswana,19.2,15.6
Brazil,11.3,10.5
Brunei Darussalam,5.4,5.5
Bulgaria,30.3,26.8
Burkina Faso,36.8,36.6
Burundi,48.9,38
C̫te d'Ivoire,19.2,21.8
Cabo Verde,No data,36.4
Cambodia,25,23
Cameroon,63.6,65.2
Canada,7.2,7
Central African Republic,55.9,38.6
Chad,61.3,39.5
Chile,25,19.8
China,59.5,54.3
Colombia,18.1,16.9
Comoros,16,16.1
Congo,56.9,40
Cook Islands,No data,No data
Costa Rica,19.1,17.9
Croatia,20.3,19.2
Cuba,16.5,16.6
Cyprus,17.2,16.7
Czechia,20.7,20.1
Democratic People's Republic of Korea,31.4,26.6
Democratic Republic of the Congo,60.7,37.5
Denmark,10.5,10.3
Djibouti,46,39
Dominica,13,13.5
Dominican Republic,17,16.2
Ecuador,13.3,13.3
Egypt,100.6,92.8
El Salvador,37,35.1
Equatorial Guinea,32,32.9
Eritrea,35.7,35.4
Estonia,8.4,8.4
Ethiopia,36.2,29.7
Fiji,6,5.9
Finland,7.1,6.9
France,12.6,12
Gabon,35.8,30.1
Gambia,43,39.3
Georgia,23,18.7
Germany,14.4,13.5
Ghana,22.1,23.7
Greece,12.6,12.2
Grenada,14,13.8
Guatemala,33.4,32.1
Guinea,19.4,21
Guinea-Bissau,28.9,26.6
Guyana,16.1,15.3
Haiti,24.6,21.7
Honduras,39.6,34.8
Hungary,22.7,21.4
Iceland,7.7,7.6
India,65.7,62.4
Indonesia,17.8,14.4
Iran (Islamic Republic of),40.2,41.6
Iraq,51.3,49.7
Ireland,9.9,9.5
Israel,19.2,19.1
Italy,18.2,17.2
Jamaica,17.1,16.3
Japan,12.9,12.5
Jordan,37.7,35.9
Kazakhstan,21.1,15.4
Kenya,16.8,15.5
Kiribati,No data,5.1
Kuwait,78.4,74.5
Kyrgyzstan,15.4,15
Lao People's Democratic Republic,33.5,26.8
Latvia,20.1,18.7
Lebanon,31.2,29.6
Lesotho,21.7,17.7
Liberia,6,8.1
Libya,58.2,61.1
Lithuania,19.4,18.4
Luxembourg,16.6,16.2
Madagascar,32,17.2
Malawi,25.6,22
Malaysia,16.6,14.8
Maldives,No data,16
Mali,34.5,39.2
Malta,14.4,14
Marshall Islands,No data,No data
Mauritania,86.2,64.8
Mauritius,14.3,14.2
Mexico,20.1,19.5
Micronesia (Federated States of),6,6
Monaco,9.2,9.2
Mongolia,32.1,20.1
Montenegro,24.3,22
Morocco,18.9,20.3
Mozambique,22.3,16.9
Myanmar,56.6,51
Namibia,18.4,18.1
Nauru,No data,No data
Nepal,74.3,64
Netherlands,14.9,14.6
New Zealand,5.3,5.2
Nicaragua,26,23.6
Niger,51.5,59.4
Nigeria,37.6,38.8
Niue,No data,No data
Norway,9.1,8.6
Oman,47.4,48.2
Pakistan,67.7,59.8
Palau,No data,No data
Panama,12.8,11.5
Papua New Guinea,12,10.4
Paraguay,16.9,14.9
Peru,35.7,26.1
Philippines,27.1,22.2
Poland,25.4,24.1
Portugal,9.6,9.4
Qatar,104.6,103.4
Republic of Korea,27.8,26.8
Republic of Moldova,17.1,16.8
Romania,20.2,18.8
Russian Federation,16.6,14.8
Rwanda,50.6,42.8
Saint Kitts and Nevis,No data,No data
Saint Lucia,15,14.8
Saint Vincent and the Grenadines,No data,13
Samoa,No data,No data
San Marino,No data,No data
Sao Tome and Principe,No data,12.7
Saudi Arabia,127.1,107.7
Senegal,43.2,33.8
Serbia,21.4,19.4
Seychelles,13,13
Sierra Leone,16.8,17.1
Singapore,17,17
Slovakia,20.2,19.3
Slovenia,19.4,18.2
Solomon Islands,5,5
Somalia,16.9,15.9
South Africa,31.3,27.4
South Sudan,32.1,29.3
Spain,9.9,9.5
Sri Lanka,28.5,26.7
Sudan,52.7,43.7
Suriname,16.3,15.6
Swaziland,19.8,17.9
Sweden,5.9,5.7
Switzerland,12.5,12
Syrian Arab Republic,34.1,33.9
Tajikistan,50.7,40.8
Thailand,27.3,24.6
The former Yugoslav republic of Macedonia,42.7,37.1
Timor-Leste,15,14.8
Togo,25.9,28.3
Tonga,No data,No data
Trinidad and Tobago,12.7,12.6
Tunisia,35.2,36.4
Turkey,35.2,33.5
Turkmenistan,26.2,25.1
Tuvalu,No data,No data
Uganda,79.6,57.2
Ukraine,16.9,16.4
United Arab Emirates,64.4,63.6
United Kingdom of Great Britain and Northern Ireland,12.4,12.1
United Republic of Tanzania,23.9,21.7
United States of America,8.4,8.2
Uruguay,11.5,11.3
Uzbekistan,38.3,31.7
Vanuatu,7,6.3
Venezuela (Bolivarian Republic of),24,22.5
Viet Nam,27.6,25.7
Yemen,42,42.7
Zambia,29.5,23.4
Zimbabwe,23.9,19.6
